"geonameid","group","NamE","longitude","latitude"
"2244484",2,"TindiemE",-1782434.68303632,1439304.89058106
"2244486",2,"TindiaN",-1483461.75805715,1471601.31008569
"2244487",2,"TindabA",-1718117.76986587,1412096.04566183
"2244488",2,"TindabA",-1772804.56748039,1398966.3630468
"2244490",2,"TimborA",-1826835.57237097,1686451.3451416
"2244492",2,"TimbifarA",-1548992.60430661,1521291.87653637
"2244493",2,"TimbifarA",-1372002.08155576,1494725.04657087
"2244494",2,"TimbafouloU",-1485375.08534301,1518185.59639706
"2244495",2,"TiL SienO",-1778889.61347561,1702043.15823652
"2244496",2,"TyilamboL",-1499955.61462613,1794296.07524473
"2244497",2,"TilognE TokosseL",-1474507.62800033,1782405.59647051
"2244498",2,"TilmessanE",-1653017.85051862,1558903.10362759
"2244499",2,"TilmarhA",-1795733.43681842,1655705.04649199
"2244500",2,"TilmakA",-1747453.78539168,1714326.48313095
"2244501",2,"TillenE",-1742510.92733978,1740375.21266745
"2244502",2,"TillE NdiayE",-1739876.25456368,1529084.6932694
"2244504",2,"TillE GaraN",-1740041.82808951,1525351.1552476
"2244507",2,"TilI DagA",-1555091.80826815,1824787.00021983
"2244508",2,"TiliandE",-1636801.89725634,1736676.12590532
"2244509",2,"TilE OundE",-1817394.44829895,1658128.42685094
"2244515",2,"TilE BouloU",-1815486.96114921,1659951.38527135
"2244520",2,"TikoulI",-1781873.55157257,1642261.14649962
"2244521",2,"TyikkitE",-1513666.33507998,1804565.04137059
"2244522",2,"TikaT BangueL",-1729633.31434564,1578657.74940143
"2244524",3,"TikankalI",-1355399.3794134,1416774.77634617
"2244528",2,"TiguerE YenE",-1439863.02060706,1752770.77189502
"2244529",2,"TiguerE SoubalbE",-1441844.5243974,1752795.62357871
"2244530",2,"TignoL MaoudO",-1698580.30865261,1675729.34876249
"2244531",2,"TignitO",-1730361.0256629,1688309.43614404
"2244532",2,"TigdiaM",-1774337.58128315,1610280.5904534
"2244536",2,"TievgaL",-1651824.65232428,1456232.13018505
"2244537",2,"TieveL MamA YerO",-1562372.57513512,1458188.80778034
"2244538",2,"TieveL BezeL",-1521861.38327644,1468594.83270057
"2244540",2,"TievebessI",-1522414.87273657,1453703.61216231
"2244541",2,"TievaL LaO",-1584529.60622666,1451161.36253237
"2244543",2,"TieurignE",-1785718.47469112,1745252.47052888
"2244546",2,"TieterlE DiabI",-1587007.92101361,1779125.6623288
"2244547",2,"TietenE BarA",-1606065.76092041,1550430.73356011
"2244550",2,"TiernO SirE",-1624411.75012855,1457543.39237518
"2244552",2,"TieribessI",-1504458.24458857,1445920.03628637
"2244553",2,"TieriaK",-1741833.32975395,1566507.57674396
"2244564",2,"TienO NdiaoU",-1774219.09568137,1722499.3629502
"2244565",2,"TienO NdayE",-1777838.72375172,1722593.97581864
"2244566",2,"TiennpoL",-1699366.00046667,1539387.12709684
"2244567",2,"TienngouL",-1721400.34924719,1653861.3627248
"2244569",2,"TiennE SagatA",-1754976.44095832,1708909.4509041
"2244572",2,"TiengoleL WambambE",-1385091.16331507,1638666.97479523
