"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code"
1817819,"Bag Gaxun","Bag Gaxun","",39.46667,105.3,"P","PPL"
1817844,"Badain Jaran","Badain Jaran","Badain Jaran,Pa-tan-chi-lin",39.8,102.4,"P","PPL"
1817872,"Atgain Sum","Atgain Sum","Atgain Sum,T'ao-li,T’ao-li",38.64111,107.01028,"P","PPL"
1817873,"Arslan","Arslan","A-se-lang,Arslan",39.5,107.15,"P","PPL"
1817875,"Arbas","Arbas","",39.5,107.1,"P","PPL"
1818126,"Alxa Zuoqi","Alxa Zuoqi","A-la-shan-tso Ch'i,A-la-shan-tso Ch’i,Alashan,Alashan Zuo Qi,Alashan Zuoqi,Alxa,Alxa Zuoqi,a la shan,a la shan zuo qi,Ālāshàn Zuǒ Qí,阿拉善,阿拉善左旗",39.42846,105.3952,"A","ADM3"
1818127,"Alxa Youqi","Alxa Youqi","A-la-shan-yu Ch'i,A-la-shan-yu Ch’i,Alashan,Alashan Youqi,Alxa,Alxa Youqi,a la shan,a la shan you qi,阿拉善,阿拉善右旗",40.13182,102.74118,"A","ADM3"
1818128,"Alxa Meng","Alxa Meng","Alashan Meng,Alxa,Alxa Meng,a la shan,a la shan meng,阿拉善,阿拉善盟",40.48087,102.84579,"A","ADM2"
1818130,"Altan Xiret","Altan Xiret","A-t'eng-hsi-lien,A-t’eng-hsi-lien,Altan Xiret,Atengxilian,Atengxilian Zhen,Ejin Horo Qi,I-chin-huo-lo-ch'i,I-chin-huo-lo-ch’i,Yijinhuoluo Qi,a teng xi lian,a teng xi lian zhen,yi jin huo luo qi,伊金霍洛旗,阿腾席连,阿腾席连镇",39.57722,109.75278,"P","PPLA4"
1818151,"Ailibugai","Ailibugai","Ailibugai,Eribugai,Eribugai Sumu,e ri bu gai,e ri bu gai su mu,额日布盖,额日布盖苏木",38.86667,101.56667,"P","PPLA4"
1818167,"Aguin Sum","Aguin Sum","A-kuei-miao,Aguin Sum",39.63333,103,"P","PPL"
1900506,"Zhaoyoufang","Zhaoyoufang","Chao-yu-fang,Zhaoyoufang",39.90833,109.94167,"P","PPL"
1900507,"Hantai","Hantai","",39.84083,109.80694,"P","PPL"
